"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2019","161.01","161.01","161.01","161.01","-","0.29%"
"Apr 09, 2019","160.55","160.55","160.55","160.55","-","-1.26%"
"Apr 08, 2019","162.60","162.60","162.60","162.60","-","1.92%"
"Apr 05, 2019","159.54","159.54","159.54","159.54","-","-0.09%"
"Apr 04, 2019","159.68","159.68","159.68","159.68","-","-0.63%"
"Apr 03, 2019","160.70","160.70","160.70","160.70","-","-0.16%"
"Apr 02, 2019","160.95","160.95","160.95","160.95","-","0.11%"
"Apr 01, 2019","160.78","160.78","160.78","160.78","-","0.17%"
"Mar 29, 2019","160.50","160.50","160.50","160.50","-","-1.04%"
"Mar 28, 2019","162.19","162.19","162.19","162.19","-","-2.34%"
"Mar 27, 2019","166.08","166.08","166.08","166.08","-","2.25%"
"Mar 26, 2019","162.42","162.42","162.42","162.42","-","-0.88%"
"Mar 25, 2019","163.86","163.86","163.86","163.86","-","0.40%"
"Mar 22, 2019","163.20","163.20","163.20","163.20","-","1.85%"
"Mar 21, 2019","160.23","160.23","160.23","160.23","-","-0.03%"
"Mar 20, 2019","160.28","160.28","160.28","160.28","-","0.16%"
"Mar 19, 2019","160.03","160.03","160.03","160.03","-","0.08%"
"Mar 18, 2019","159.90","159.90","159.90","159.90","-","0.01%"
"Mar 15, 2019","159.89","159.89","159.89","159.89","-","-0.65%"
"Mar 14, 2019","160.94","160.94","160.94","160.94","-","0.29%"
"Mar 13, 2019","160.47","160.47","160.47","160.47","-","-0.02%"
"Mar 12, 2019","160.51","160.51","160.51","160.51","-","0.60%"
"Mar 11, 2019","159.55","159.55","159.55","159.55","-","-0.65%"
"Mar 08, 2019","160.59","160.59","160.59","160.59","-","-0.21%"
"Mar 07, 2019","160.93","160.93","160.93","160.93","-","1.75%"
"Mar 06, 2019","158.16","158.16","158.16","158.16","-","0.29%"
"Mar 01, 2019","157.70","157.70","157.70","157.70","-","-0.19%"
"Feb 28, 2019","158.00","158.00","158.00","158.00","-","-0.12%"
"Feb 27, 2019","158.19","158.19","158.19","158.19","-","-0.87%"
"Feb 26, 2019","159.58","159.58","159.58","159.58","-","0.29%"
