"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2019","1,279.05","1,281.95","1,282.95","1,276.15","-","-0.23%"
"Jan 20, 2019","1,282.05","1,281.30","1,282.70","1,280.50","-","0.06%"
"Jan 18, 2019","1,281.30","1,281.30","1,281.30","1,281.30","0.00K","-0.75%"
"Jan 17, 2019","1,291.00","1,291.60","1,292.70","1,288.50","0.01K","-0.05%"
"Jan 16, 2019","1,291.60","1,291.60","1,291.60","1,291.60","0.00K","0.42%"
"Jan 15, 2019","1,286.20","1,290.10","1,292.70","1,290.10","0.00K","-3.68%"
"Jan 14, 2019","1,335.30","1,331.60","1,331.60","1,331.60","0.40K","0.16%"
"Jan 11, 2019","1,333.20","1,336.60","1,336.60","1,336.60","0.05K","3.78%"
"Jan 10, 2019","1,284.70","1,284.70","1,284.70","1,284.70","0.55K","-0.36%"
"Jan 09, 2019","1,289.30","1,279.40","1,289.30","1,279.20","0.10K","0.48%"
"Jan 08, 2019","1,283.20","1,280.50","1,282.50","1,278.20","0.05K","-3.76%"
"Jan 07, 2019","1,333.40","1,332.20","1,332.20","1,332.20","0.01K","0.32%"
"Jan 04, 2019","1,329.20","1,330.00","1,330.00","1,330.00","0.10K","-0.66%"
"Jan 03, 2019","1,338.00","1,334.50","1,334.50","1,334.50","0.69K","0.81%"
"Jan 02, 2019","1,327.20","1,332.50","1,332.50","1,331.30","0.00K","3.42%"
"Jan 01, 2019","1,283.35","1,284.70","1,284.75","1,282.85","-","0.40%"
"Dec 31, 2018","1,278.30","1,278.00","1,281.30","1,277.60","0.02K","-0.13%"
"Dec 28, 2018","1,279.90","1,273.50","1,280.10","1,273.50","0.81K","0.20%"
"Dec 27, 2018","1,277.30","1,276.70","1,276.70","1,276.70","0.00K","0.64%"
"Dec 26, 2018","1,269.20","1,269.30","1,277.40","1,269.30","0.06K","-0.12%"
"Dec 25, 2018","1,270.75","1,272.50","1,274.55","1,270.65","-","0.26%"
"Dec 24, 2018","1,267.50","1,260.30","1,268.50","1,260.30","0.03K","1.09%"
"Dec 21, 2018","1,253.80","1,260.30","1,261.30","1,255.00","0.10K","-4.32%"
"Dec 20, 2018","1,310.40","1,308.20","1,308.20","1,305.90","0.00K","4.66%"
"Dec 19, 2018","1,252.10","1,255.80","1,255.80","1,255.80","0.27K","0.23%"
"Dec 18, 2018","1,249.20","1,248.20","1,249.00","1,245.60","0.03K","0.14%"
"Dec 17, 2018","1,247.40","1,239.30","1,245.90","1,239.30","0.01K","0.84%"
"Dec 14, 2018","1,237.00","1,241.70","1,241.70","1,234.10","0.03K","-0.46%"
"Dec 13, 2018","1,242.70","1,243.50","1,243.50","1,241.00","0.19K","-0.14%"
"Dec 12, 2018","1,244.40","1,245.30","1,245.60","1,244.10","0.08K","-3.54%"
"Dec 11, 2018","1,290.10","1,289.90","1,289.90","1,289.90","0.00K","-0.15%"
"Dec 10, 2018","1,292.00","1,294.00","1,294.00","1,294.00","0.00K","-0.29%"
"Dec 07, 2018","1,295.80","1,291.60","1,291.60","1,291.60","0.00K","0.72%"
"Dec 06, 2018","1,286.50","1,288.60","1,288.60","1,288.60","0.00K","3.99%"
"Dec 05, 2018","1,237.10","1,238.50","1,238.80","1,234.90","0.13K","-0.32%"
"Dec 04, 2018","1,241.10","1,231.00","1,241.40","1,230.40","0.47K","-3.22%"
"Dec 03, 2018","1,282.40","1,283.20","1,283.20","1,283.20","0.00K","5.10%"
"Nov 30, 2018","1,220.20","1,224.10","1,225.00","1,216.10","2.06K","-4.15%"
"Nov 29, 2018","1,273.00","1,274.60","1,274.60","1,274.60","0.00K","4.22%"
"Nov 28, 2018","1,221.40","1,211.50","1,212.20","1,211.50","0.00K","0.84%"
"Nov 27, 2018","1,211.20","1,221.90","1,222.00","1,221.90","0.01K","-0.74%"
"Nov 26, 2018","1,220.20","1,222.00","1,222.00","1,222.00","0.00K","-4.08%"
"Nov 23, 2018","1,272.10","1,272.70","1,272.70","1,272.70","0.01K","3.59%"
"Nov 22, 2018","1,228.00","1,226.40","1,229.70","1,225.50","-","0.18%"
"Nov 21, 2018","1,225.80","1,225.80","1,225.80","1,225.80","0.34K","0.56%"
"Nov 20, 2018","1,219.00","1,225.30","1,228.80","1,222.00","0.01K","-0.34%"
"Nov 19, 2018","1,223.10","1,223.10","1,223.10","1,223.10","2.39K","0.19%"
"Nov 16, 2018","1,220.80","1,216.70","1,223.80","1,216.70","0.01K","0.66%"
"Nov 15, 2018","1,212.80","1,212.80","1,212.80","1,212.80","0.14K","0.41%"
"Nov 14, 2018","1,207.90","1,207.90","1,207.90","1,207.90","0.33K","0.73%"
"Nov 13, 2018","1,199.20","1,196.30","1,201.30","1,196.30","0.01K","-0.17%"
"Nov 12, 2018","1,201.30","1,201.60","1,201.60","1,201.60","0.00K","-0.42%"
"Nov 09, 2018","1,206.40","1,207.90","1,207.90","1,207.00","0.01K","-1.35%"
"Nov 08, 2018","1,222.90","1,222.90","1,222.90","1,222.90","0.00K","-0.27%"
"Nov 07, 2018","1,226.20","1,228.60","1,228.60","1,228.60","0.00K","0.20%"
"Nov 06, 2018","1,223.80","1,230.70","1,233.80","1,230.70","0.00K","-0.49%"
"Nov 05, 2018","1,229.80","1,230.60","1,231.50","1,226.70","0.02K","-0.09%"
"Nov 02, 2018","1,230.90","1,233.30","1,233.30","1,231.00","0.02K","-0.41%"
"Nov 01, 2018","1,236.00","1,215.40","1,231.60","1,215.40","0.01K","1.95%"
"Oct 31, 2018","1,212.30","1,216.00","1,216.60","1,212.00","0.12K","-0.84%"
"Oct 30, 2018","1,222.60","1,227.70","1,227.70","1,219.80","0.07K","-0.16%"
"Oct 29, 2018","1,224.50","1,224.50","1,224.50","1,224.50","0.26K","-0.65%"
"Oct 26, 2018","1,232.50","1,234.30","1,234.80","1,234.30","0.02K","0.28%"
"Oct 25, 2018","1,229.10","1,238.60","1,238.60","1,229.60","0.01K","0.11%"
"Oct 24, 2018","1,227.80","1,231.60","1,231.60","1,228.50","0.04K","-0.45%"
"Oct 23, 2018","1,233.40","1,224.80","1,237.80","1,224.80","0.03K","1.00%"
"Oct 22, 2018","1,221.20","1,224.50","1,224.50","1,219.60","0.02K","-0.33%"
"Oct 19, 2018","1,225.30","1,225.30","1,225.30","1,225.30","0.06K","-0.10%"
"Oct 18, 2018","1,226.50","1,226.50","1,226.50","1,226.50","0.17K","0.23%"
"Oct 17, 2018","1,223.70","1,225.90","1,225.90","1,225.90","0.00K","-0.29%"
"Oct 16, 2018","1,227.30","1,227.10","1,230.50","1,227.10","0.43K","0.07%"
"Oct 15, 2018","1,226.40","1,222.40","1,232.30","1,222.40","0.14K","0.68%"
"Oct 12, 2018","1,218.10","1,221.60","1,221.60","1,216.00","0.12K","-0.44%"
"Oct 11, 2018","1,223.50","1,198.10","1,224.60","1,196.30","0.13K","2.88%"
"Oct 10, 2018","1,189.30","1,191.30","1,192.00","1,191.30","1.08K","0.18%"
"Oct 09, 2018","1,187.20","1,185.60","1,189.10","1,185.60","0.01K","0.24%"
"Oct 08, 2018","1,184.40","1,201.00","1,201.00","1,183.70","0.25K","-1.40%"
"Oct 05, 2018","1,201.20","1,197.10","1,205.30","1,196.90","0.03K","0.33%"
"Oct 04, 2018","1,197.20","1,199.30","1,204.60","1,197.80","0.50K","-0.09%"
"Oct 03, 2018","1,198.30","1,202.60","1,202.60","1,196.60","0.08K","-0.34%"
"Oct 02, 2018","1,202.40","1,193.00","1,206.00","1,190.30","0.45K","1.29%"
"Oct 01, 2018","1,187.10","1,191.60","1,191.60","1,185.80","0.18K","-0.37%"
"Sep 28, 2018","1,191.50","1,181.70","1,191.90","1,180.00","0.40K","0.78%"
"Sep 27, 2018","1,182.30","1,194.60","1,197.30","1,180.50","4.95K","-0.98%"
"Sep 26, 2018","1,194.00","1,194.00","1,194.00","1,194.00","0.00K","-0.50%"
"Sep 25, 2018","1,200.00","1,202.10","1,202.80","1,202.10","0.02K","0.06%"
"Sep 24, 2018","1,199.30","1,199.30","1,199.30","1,199.30","0.01K","0.26%"
"Sep 21, 2018","1,196.20","1,196.20","1,196.20","1,196.20","0.04K","-0.83%"
"Sep 20, 2018","1,206.20","1,206.20","1,206.20","1,206.20","0.07K","0.33%"
"Sep 19, 2018","1,202.20","1,202.20","1,202.20","1,202.20","0.08K","0.45%"
"Sep 18, 2018","1,196.80","1,198.70","1,198.70","1,197.60","0.00K","-0.24%"
"Sep 17, 2018","1,199.70","1,199.70","1,199.70","1,199.70","0.15K","0.39%"
"Sep 14, 2018","1,195.00","1,195.00","1,195.00","1,195.00","0.00K","-0.58%"
"Sep 13, 2018","1,202.00","1,203.40","1,203.40","1,200.00","0.02K","-0.22%"
